key,singularis,pluralis
affiliation,Affiliert,
readmore,Les meir,
abstract,Samandrag,
contributors,Medverkande,
webpage,Nettside,
publications,Publikasjon,Publikasjonar
archive,Arkiv,
email.subject,"Registrerte publikasjonar i Cristin (%s, %s)",
email.header,"Dette dokumentet inneheld registrerte publikasjonar i Cristin ved %1$s for %2$s %3$s. Arkivet er tilgjengeleg på <a href=""%4$s"">%4$s</a>. Kvar publikasjon er oppført med direktelenkje til arkivet, der ein kan finne meir informasjon om publikasjonen (e.g., samandrag, medverkande og PDF dersom dette er tilgjengeleg).",
c2z,CRIStin Bot nyttar seg av,
inn.url,https://www.inn.no/finn-en-ansatt/,
sdg,Berekraftsmål,
sdg.publications,Publikasjonar om berekraftsmål,
